"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","2136","Movement Zone 2136","9/1/2019 - 9/1/2019, Every day, Daily Average",1732,1403,2136
"4946","Movement Zone 4946","2137","Movement Zone 2137","9/1/2019 - 9/1/2019, Every day, Daily Average",1695,1415,2029
"4946","Movement Zone 4946","2139","Movement Zone 2139","9/1/2019 - 9/1/2019, Every day, Daily Average",2463,1899,3192
"4946","Movement Zone 4946","2140","Movement Zone 2140","9/1/2019 - 9/1/2019, Every day, Daily Average",2901,2405,3498
"4946","Movement Zone 4946","2141","Movement Zone 2141","9/1/2019 - 9/1/2019, Every day, Daily Average",2349,2023,2726
"4946","Movement Zone 4946","2142","Movement Zone 2142","9/1/2019 - 9/1/2019, Every day, Daily Average",2258,1934,2635
"4946","Movement Zone 4946","2143","Movement Zone 2143","9/1/2019 - 9/1/2019, Every day, Daily Average",2242,1859,2703
"4946","Movement Zone 4946","2144","Movement Zone 2144","9/1/2019 - 9/1/2019, Every day, Daily Average",1867,1554,2242
"4946","Movement Zone 4946","2145","Movement Zone 2145","9/1/2019 - 9/1/2019, Every day, Daily Average",2471,2043,2987
"4946","Movement Zone 4946","2146","Movement Zone 2146","9/1/2019 - 9/1/2019, Every day, Daily Average",1979,1419,2758
"4946","Movement Zone 4946","2148","Movement Zone 2148","9/1/2019 - 9/1/2019, Every day, Daily Average",2183,1418,3359
"4946","Movement Zone 4946","2149","Movement Zone 2149","9/1/2019 - 9/1/2019, Every day, Daily Average",1711,1497,1954
"4946","Movement Zone 4946","2150","Movement Zone 2150","9/1/2019 - 9/1/2019, Every day, Daily Average",2402,1983,2909
"4946","Movement Zone 4946","2169","Movement Zone 2169","9/1/2019 - 9/1/2019, Every day, Daily Average",1752,1429,2146
"4946","Movement Zone 4946","2170","Movement Zone 2170","9/1/2019 - 9/1/2019, Every day, Daily Average",2278,1894,2738
"4946","Movement Zone 4946","2172","Movement Zone 2172","9/1/2019 - 9/1/2019, Every day, Daily Average",2113,1712,2606
"4946","Movement Zone 4946","2173","Movement Zone 2173","9/1/2019 - 9/1/2019, Every day, Daily Average",1932,1606,2324
"4946","Movement Zone 4946","2175","Movement Zone 2175","9/1/2019 - 9/1/2019, Every day, Daily Average",2166,1841,2547
"4946","Movement Zone 4946","2176","Movement Zone 2176","9/1/2019 - 9/1/2019, Every day, Daily Average",1653,1395,1958
"4946","Movement Zone 4946","2177","Movement Zone 2177","9/1/2019 - 9/1/2019, Every day, Daily Average",1742,1417,2141
"4946","Movement Zone 4946","2182","Movement Zone 2182","9/1/2019 - 9/1/2019, Every day, Daily Average",1890,1610,2217
"4946","Movement Zone 4946","2183","Movement Zone 2183","9/1/2019 - 9/1/2019, Every day, Daily Average",1942,1662,2267
"4946","Movement Zone 4946","2184","Movement Zone 2184","9/1/2019 - 9/1/2019, Every day, Daily Average",1697,1372,2098
"4946","Movement Zone 4946","2188","Movement Zone 2188","9/1/2019 - 9/1/2019, Every day, Daily Average",1451,1119,1881
"4946","Movement Zone 4946","2189","Movement Zone 2189","9/1/2019 - 9/1/2019, Every day, Daily Average",2211,1828,2673
"4946","Movement Zone 4946","2194","Movement Zone 2194","9/1/2019 - 9/1/2019, Every day, Daily Average",1269,966,1665
"4946","Movement Zone 4946","2195","Movement Zone 2195","9/1/2019 - 9/1/2019, Every day, Daily Average",1608,1316,1963
"4946","Movement Zone 4946","2201","Movement Zone 2201","9/1/2019 - 9/1/2019, Every day, Daily Average",1773,1426,2203
"4946","Movement Zone 4946","2202","Movement Zone 2202","9/1/2019 - 9/1/2019, Every day, Daily Average",2743,2187,3439
"4946","Movement Zone 4946","2203","Movement Zone 2203","9/1/2019 - 9/1/2019, Every day, Daily Average",1863,1541,2251
"4946","Movement Zone 4946","2204","Movement Zone 2204","9/1/2019 - 9/1/2019, Every day, Daily Average",1771,1463,2143
"4946","Movement Zone 4946","2208","Movement Zone 2208","9/1/2019 - 9/1/2019, Every day, Daily Average",1817,1503,2195
"4946","Movement Zone 4946","2212","Movement Zone 2212","9/1/2019 - 9/1/2019, Every day, Daily Average",2062,1705,2492
"4946","Movement Zone 4946","2213","Movement Zone 2213","9/1/2019 - 9/1/2019, Every day, Daily Average",1850,1574,2174
"4946","Movement Zone 4946","2214","Movement Zone 2214","9/1/2019 - 9/1/2019, Every day, Daily Average",2681,2241,3206
"4946","Movement Zone 4946","2216","Movement Zone 2216","9/1/2019 - 9/1/2019, Every day, Daily Average",2433,1903,3109
"4946","Movement Zone 4946","2217","Movement Zone 2217","9/1/2019 - 9/1/2019, Every day, Daily Average",2482,2048,3007
"4946","Movement Zone 4946","2219","Movement Zone 2219","9/1/2019 - 9/1/2019, Every day, Daily Average",2306,1968,2701
"4946","Movement Zone 4946","2220","Movement Zone 2220","9/1/2019 - 9/1/2019, Every day, Daily Average",2500,2054,3042
"4946","Movement Zone 4946","2224","Movement Zone 2224","9/1/2019 - 9/1/2019, Every day, Daily Average",2519,2233,2841
"4946","Movement Zone 4946","2225","Movement Zone 2225","9/1/2019 - 9/1/2019, Every day, Daily Average",2388,1949,2925
"4946","Movement Zone 4946","2226","Movement Zone 2226","9/1/2019 - 9/1/2019, Every day, Daily Average",2219,1936,2542
"4946","Movement Zone 4946","2228","Movement Zone 2228","9/1/2019 - 9/1/2019, Every day, Daily Average",1834,1602,2098
"4946","Movement Zone 4946","2229","Movement Zone 2229","9/1/2019 - 9/1/2019, Every day, Daily Average",1713,1498,1958
"4946","Movement Zone 4946","2238","Movement Zone 2238","9/1/2019 - 9/1/2019, Every day, Daily Average",2027,1710,2402
"4946","Movement Zone 4946","2239","Movement Zone 2239","9/1/2019 - 9/1/2019, Every day, Daily Average",1545,1265,1886
"4946","Movement Zone 4946","2246","Movement Zone 2246","9/1/2019 - 9/1/2019, Every day, Daily Average",1802,1527,2126
"4946","Movement Zone 4946","2247","Movement Zone 2247","9/1/2019 - 9/1/2019, Every day, Daily Average",1908,1674,2174
"4946","Movement Zone 4946","2248","Movement Zone 2248","9/1/2019 - 9/1/2019, Every day, Daily Average",1720,1391,2126
"4946","Movement Zone 4946","2249","Movement Zone 2249","9/1/2019 - 9/1/2019, Every day, Daily Average",1595,1361,1868
"4946","Movement Zone 4946","2250","Movement Zone 2250","9/1/2019 - 9/1/2019, Every day, Daily Average",1673,1386,2019
"4946","Movement Zone 4946","2252","Movement Zone 2252","9/1/2019 - 9/1/2019, Every day, Daily Average",1897,1614,2229
"4946","Movement Zone 4946","2253","Movement Zone 2253","9/1/2019 - 9/1/2019, Every day, Daily Average",1576,1356,1830
"4946","Movement Zone 4946","2254","Movement Zone 2254","9/1/2019 - 9/1/2019, Every day, Daily Average",1999,1730,2308
"4946","Movement Zone 4946","2259","Movement Zone 2259","9/1/2019 - 9/1/2019, Every day, Daily Average",1847,1563,2181
"4946","Movement Zone 4946","2260","Movement Zone 2260","9/1/2019 - 9/1/2019, Every day, Daily Average",1834,1503,2237
"4946","Movement Zone 4946","2268","Movement Zone 2268","9/1/2019 - 9/1/2019, Every day, Daily Average",3207,2223,4626
"4946","Movement Zone 4946","2269","Movement Zone 2269","9/1/2019 - 9/1/2019, Every day, Daily Average",3539,2521,4966
"4946","Movement Zone 4946","2282","Movement Zone 2282","9/1/2019 - 9/1/2019, Every day, Daily Average",3190,2212,4599
"4946","Movement Zone 4946","2297","Movement Zone 2297","9/1/2019 - 9/1/2019, Every day, Daily Average",4639,3076,6995
"4946","Movement Zone 4946","2307","Movement Zone 2307","9/1/2019 - 9/1/2019, Every day, Daily Average",4382,2821,6805
"4946","Movement Zone 4946","2310","Movement Zone 2310","9/1/2019 - 9/1/2019, Every day, Daily Average",2450,2104,2851
"4946","Movement Zone 4946","2311","Movement Zone 2311","9/1/2019 - 9/1/2019, Every day, Daily Average",2965,2727,3223
"4946","Movement Zone 4946","2313","Movement Zone 2313","9/1/2019 - 9/1/2019, Every day, Daily Average",2702,2318,3148
"4946","Movement Zone 4946","2318","Movement Zone 2318","9/1/2019 - 9/1/2019, Every day, Daily Average",2519,1853,3423
"4946","Movement Zone 4946","2321","Movement Zone 2321","9/1/2019 - 9/1/2019, Every day, Daily Average",3141,2705,3647
"4946","Movement Zone 4946","2324","Movement Zone 2324","9/1/2019 - 9/1/2019, Every day, Daily Average",3940,2645,5868
"4946","Movement Zone 4946","2326","Movement Zone 2326","9/1/2019 - 9/1/2019, Every day, Daily Average",2822,2425,3282
"4946","Movement Zone 4946","2333","Movement Zone 2333","9/1/2019 - 9/1/2019, Every day, Daily Average",2483,2134,2888
"4946","Movement Zone 4946","2337","Movement Zone 2337","9/1/2019 - 9/1/2019, Every day, Daily Average",2640,2267,3073
"4946","Movement Zone 4946","2343","Movement Zone 2343","9/1/2019 - 9/1/2019, Every day, Daily Average",2521,2179,2915
"4946","Movement Zone 4946","2353","Movement Zone 2353","9/1/2019 - 9/1/2019, Every day, Daily Average",2460,2135,2834
"4946","Movement Zone 4946","2356","Movement Zone 2356","9/1/2019 - 9/1/2019, Every day, Daily Average",2728,2328,3196
"4946","Movement Zone 4946","2357","Movement Zone 2357","9/1/2019 - 9/1/2019, Every day, Daily Average",2696,2314,3140
"4946","Movement Zone 4946","2386","Movement Zone 2386","9/1/2019 - 9/1/2019, Every day, Daily Average",2456,1809,3333
"4946","Movement Zone 4946","2409","Movement Zone 2409","9/1/2019 - 9/1/2019, Every day, Daily Average",2433,2220,2665
