"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","644","Movement Zone 644","9/2/2019 - 9/2/2019, Every day, Daily Average",2395,1978,2898
"4946","Movement Zone 4946","645","Movement Zone 645","9/2/2019 - 9/2/2019, Every day, Daily Average",2266,1886,2721
"4946","Movement Zone 4946","646","Movement Zone 646","9/2/2019 - 9/2/2019, Every day, Daily Average",2167,1700,2761
"4946","Movement Zone 4946","647","Movement Zone 647","9/2/2019 - 9/2/2019, Every day, Daily Average",2095,1631,2689
"4946","Movement Zone 4946","648","Movement Zone 648","9/2/2019 - 9/2/2019, Every day, Daily Average",2033,1530,2700
"4946","Movement Zone 4946","649","Movement Zone 649","9/2/2019 - 9/2/2019, Every day, Daily Average",1719,1341,2203
"4946","Movement Zone 4946","651","Movement Zone 651","9/2/2019 - 9/2/2019, Every day, Daily Average",2017,1633,2489
"4946","Movement Zone 4946","658","Movement Zone 658","9/2/2019 - 9/2/2019, Every day, Daily Average",2019,1725,2362
"4946","Movement Zone 4946","667","Movement Zone 667","9/2/2019 - 9/2/2019, Every day, Daily Average",1759,1552,1993
"4946","Movement Zone 4946","672","Movement Zone 672","9/2/2019 - 9/2/2019, Every day, Daily Average",2119,1713,2620
"4946","Movement Zone 4946","674","Movement Zone 674","9/2/2019 - 9/2/2019, Every day, Daily Average",2333,1915,2842
"4946","Movement Zone 4946","675","Movement Zone 675","9/2/2019 - 9/2/2019, Every day, Daily Average",1999,1811,2206
"4946","Movement Zone 4946","681","Movement Zone 681","9/2/2019 - 9/2/2019, Every day, Daily Average",2275,1955,2646
"4946","Movement Zone 4946","684","Movement Zone 684","9/2/2019 - 9/2/2019, Every day, Daily Average",2438,2089,2844
"4946","Movement Zone 4946","685","Movement Zone 685","9/2/2019 - 9/2/2019, Every day, Daily Average",2379,1913,2958
"4946","Movement Zone 4946","688","Movement Zone 688","9/2/2019 - 9/2/2019, Every day, Daily Average",2194,1929,2494
"4946","Movement Zone 4946","690","Movement Zone 690","9/2/2019 - 9/2/2019, Every day, Daily Average",1761,1328,2334
